IoFileMgrForKernel	0x42ec03ac	sceIoWrite
IoFileMgrForKernel	0x54f5fb11	sceIoDevctl
IoFileMgrForKernel	0x55f4717d	sceIoChdir
IoFileMgrForKernel	0x63632449	sceIoIoctl
IoFileMgrForKernel	0x68963324	sceIoLseek32
IoFileMgrForKernel	0x6a638d83	sceIoRead
IoFileMgrForKernel	0x6d08a871	sceIoUnassign
IoFileMgrForKernel	0x71b19e77	sceIoLseekAsync
IoFileMgrForKernel	0x779103a0	sceIoRename
IoFileMgrForKernel	0x810c4bc3	sceIoClose
IoFileMgrForKernel	0x89aa9906	sceIoOpenAsync
IoFileMgrForKernel	0x8e982a74	sceIoAddDrv
IoFileMgrForKernel	0xa0b5a7c2	sceIoReadAsync
IoFileMgrForKernel	0xa12a0514	sceIoSetAsyncCallback
IoFileMgrForKernel	0xa905b705	sceIoCloseAll
IoFileMgrForKernel	0xab96437f	sceIoSync
IoFileMgrForKernel	0xace946e8	sceIoGetstat
IoFileMgrForKernel	0xb293727f	sceIoChangeAsyncPriority
IoFileMgrForKernel	0xb29ddf9c	sceIoDopen
IoFileMgrForKernel	0xb2a628c1	sceIoAssign
IoFileMgrForKernel	0xb8a740f4	sceIoChstat
IoFileMgrForKernel	0xc7f35804	sceIoDelDrv
IoFileMgrForKernel	0xcb05f8d6	sceIoGetAsyncStat
IoFileMgrForKernel	0xcb0a151f	sceIoChangeThreadCwd
IoFileMgrForKernel	0xe23eec33	sceIoWaitAsync
IoFileMgrForKernel	0xe3eb004c	sceIoDread
IoFileMgrForKernel	0xe8bc6571	sceIoCancel
IoFileMgrForKernel	0xe95a012b	sceIoIoctlAsync
IoFileMgrForKernel	0xeb092469	sceIoDclose
IoFileMgrForKernel	0xf27a9c51	sceIoRemove
IoFileMgrForKernel	0xff5940b6	sceIoCloseAsync
IoFileMgrForUser	0x06a70004	sceIoMkdir
IoFileMgrForUser	0x08bd7374	sceIoGetDevType
IoFileMgrForUser	0x0facab19	sceIoWriteAsync
IoFileMgrForUser	0x109f50bc	sceIoOpen
IoFileMgrForUser	0x1117c65f	sceIoRmdir
IoFileMgrForUser	0x1b385d8f	sceIoLseek32Async
IoFileMgrForUser	0x27eb27b8	sceIoLseek
IoFileMgrForUser	0x3251ea56	sceIoPollAsync
IoFileMgrForUser	0x35dbd746	sceIoWaitAsyncCB
IoFileMgrForUser	0x42ec03ac	sceIoWrite
IoFileMgrForUser	0x54f5fb11	sceIoDevctl
IoFileMgrForUser	0x55f4717d	sceIoChdir
IoFileMgrForUser	0x63632449	sceIoIoctl
IoFileMgrForUser	0x68963324	sceIoLseek32
IoFileMgrForUser	0x6a638d83	sceIoRead
IoFileMgrForUser	0x6d08a871	sceIoUnassign
IoFileMgrForUser	0x71b19e77	sceIoLseekAsync
IoFileMgrForUser	0x779103a0	sceIoRename
IoFileMgrForUser	0x810c4bc3	sceIoClose
IoFileMgrForUser	0x89aa9906	sceIoOpenAsync
IoFileMgrForUser	0xa0b5a7c2	sceIoReadAsync
IoFileMgrForUser	0xa12a0514	sceIoSetAsyncCallback
IoFileMgrForUser	0xab96437f	sceIoSync
IoFileMgrForUser	0xace946e8	sceIoGetstat
IoFileMgrForUser	0xb293727f	sceIoChangeAsyncPriority
IoFileMgrForUser	0xb29ddf9c	sceIoDopen
IoFileMgrForUser	0xb2a628c1	sceIoAssign
IoFileMgrForUser	0xb8a740f4	sceIoChstat
IoFileMgrForUser	0xcb05f8d6	sceIoGetAsyncStat
IoFileMgrForUser	0xe23eec33	sceIoWaitAsync
IoFileMgrForUser	0xe3eb004c	sceIoDread
IoFileMgrForUser	0xe8bc6571	sceIoCancel
